2, 1.513000
4, 4.246000
6, 8.685000
8, 14.750000
10, 22.633000
12, 33.411000
14, 36.109000
16, 45.996000
18, 51.698000
20, 58.718000
22, 64.495000
24, 71.659000
26, 75.989000
28, 82.935000
30, 86.539000
32, 95.567000
34, 99.783000
36, 106.327000
38, 112.427000
40, 122.739000

2, 3.447000
4, 8.418000
6, 17.288000
8, 29.538000
10, 44.079000
12, 61.782000
14, 75.952000
16, 402.310000
18, 785.130000
20, 1280.124000
22, 2121.245000
24, 2399.344000
26, 1926.424000
28, 2812.353000
30, 2622.607000
32, 1513.706000
34, 1693.644000
36, 3365.661000
38, 2904.448000
40, 2865.611000

2, 3.910000
4, 9.363000
6, 15.714000
8, 20.619000
10, 25.940000
12, 31.178000
14, 38.223000
16, 41.257000
18, 46.725000
20, 51.770000
22, 60.099000
24, 65.082000
26, 69.583000
28, 75.609000
30, 78.749000
32, 82.937000
34, 88.103000
36, 97.631000
38, 98.471000
40, 102.911000

