2, 4.328000
4, 9.780000
6, 17.697000
8, 29.027000
10, 44.005000
12, 56.847000
14, 69.756000
16, 79.489000
18, 91.498000
20, 102.837000
22, 114.893000
24, 128.121000
26, 140.383000
28, 149.064000
30, 162.381000
32, 174.295000
34, 183.081000
36, 192.066000
38, 210.489000
40, 218.621000

2, 2.970000
4, 7.524000
6, 17.074000
8, 29.299000
10, 42.377000
12, 57.785000
14, 67.793000
16, 77.413000
18, 88.459000
20, 99.440000
22, 108.154000
24, 124.577000
26, 133.533000
28, 143.891000
30, 146.409000
32, 168.780000
34, 177.245000
36, 181.502000
38, 192.303000
40, 197.651000

2, 3.556000
4, 9.056000
6, 18.261000
8, 30.459000
10, 45.455000
12, 59.706000
14, 73.794000
16, 86.277000
18, 98.331000
20, 106.182000
22, 121.241000
24, 130.484000
26, 136.374000
28, 148.121000
30, 157.277000
32, 170.070000
34, 188.812000
36, 189.992000
38, 204.542000
40, 219.291000

