10, 0.000000, 0.000000, 0.000000, 0.000000
20, 0.000000, 11.000000, 0.000000, 0.000000
30, 0.000000, 32.000000, 0.000000, 0.000000
40, 0.000000, 62.000000, 0.000000, 0.000000
50, 99.000000, 99.000000, 99.000000, 99.000000
60, 99.000000, 99.000000, 99.000000, 99.000000
70, 99.000000, 99.000000, 99.000000, 99.000000
80, 99.000000, 99.000000, 99.000000, 99.000000
90, 99.000000, 99.000000, 99.000000, 99.000000
100, 99.000000, 99.000000, 99.000000, 99.000000

10, 19.000000, 19.000000, 19.000000, 19.000000
20, 39.000000, 38.000000, 39.000000, 39.000000
30, 59.000000, 60.000000, 59.000000, 59.000000
40, 80.000000, 80.000000, 79.000000, 79.000000
50, 99.000000, 99.000000, 99.000000, 99.000000
60, 99.000000, 99.000000, 99.000000, 99.000000
70, 99.000000, 99.000000, 99.000000, 99.000000
80, 99.000000, 99.000000, 99.000000, 99.000000
90, 99.000000, 99.000000, 99.000000, 99.000000
100, 99.000000, 99.000000, 99.000000, 99.000000

10, 52.000000, 52.000000, 58.000000, 53.000000
20, 74.000000, 74.000000, 83.000000, 76.000000
30, 85.000000, 85.000000, 89.000000, 86.000000
40, 93.000000, 92.000000, 94.000000, 93.000000
50, 99.000000, 99.000000, 99.000000, 99.000000
60, 99.000000, 99.000000, 99.000000, 99.000000
70, 99.000000, 99.000000, 99.000000, 99.000000
80, 99.000000, 99.000000, 99.000000, 99.000000
90, 99.000000, 99.000000, 99.000000, 99.000000
100, 99.000000, 99.000000, 99.000000, 99.000000
